Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
0.255151791,1.48630742,-1.896816626,0.015075902,1.251805273,1.786010017,0.037933365,0.869085599
0.255151791,-0.699401755,-1.655992126,0.185022438,0.053679471,-0.046575988,-1.451189499,-0.598482618
-1.100797729,0.861819084,-0.512075751,0.015075902,-1.14444633,-0.213174716,1.207958473,1.521338141
-0.422822969,-0.465218629,-0.873312501,0.354968973,0.652742372,1.119615106,-1.096636436,-0.054938834
-1.100797729,-1.011645923,-0.271251251,-0.494763703,-0.345695796,-0.213174716,-0.67117276,-0.054938834
0.933126552,-0.309096545,0.812458998,-0.834656774,0.453054738,-0.213174716,0.002478059,-0.326710726
1.611101312,1.09600221,0.511428373,0.354968973,0.453054738,1.452812562,-0.210253779,-0.272356348
-0.422822969,0.237330749,0.089985499,-0.494763703,-1.14444633,-1.212767083,0.640673572,0.542959329
1.611101312,0.003147623,-0.090632876,-0.324817168,2.25024344,-0.046575988,-1.238457661,0.16247868
0.255151791,-0.387157587,-0.993724751,0.694862043,-0.345695796,0.453220195,-1.593010724,-1.25073516
0.255151791,-2.494805721,-1.053930876,2.054434325,-0.345695796,1.286213834,0.605218266,-0.109293213
0.933126552,0.783758043,-0.150839001,-0.834656774,-0.146008162,-0.379773444,0.17975459,0.597313707
0.255151791,-1.401951133,-0.090632876,-0.664710238,-0.745071063,0.78641765,-0.742083373,-0.054938834
-0.422822969,-0.699401755,0.089985499,0.185022438,0.453054738,-0.546372172,0.711584185,0.271187436
0.255151791,-0.699401755,-1.475373751,-0.154870633,1.052117639,0.453220195,0.782494797,0.651668086
2.289076072,-0.074913419,-1.053930876,1.714541254,1.251805273,1.119615106,-1.380278886,-1.033317646
-0.422822969,1.330185336,-0.271251251,0.354968973,0.053679471,-0.046575988,-0.990270517,-0.435419483
-1.100797729,0.003147623,0.993077373,0.694862043,-0.545383429,0.453220195,-0.245709085,-1.033317646
0.255151791,-0.309096545,-0.873312501,-1.514442914,1.451492906,-1.046168355,-0.919359904,-0.054938834
-1.100797729,0.003147623,0.993077373,0.015075902,-0.146008162,-0.046575988,0.108843978,-0.815900132
0.933126552,-0.152974461,0.150191624,0.185022438,-0.745071063,0.120022739,-1.309368274,-0.761545754
0.255151791,0.003147623,-0.211045126,0.185022438,0.253367105,0.453220195,0.85340541,1.521338141
-0.422822969,-0.465218629,-0.391663501,-0.324817168,0.053679471,-0.046575988,0.782494797,1.086503113
0.255151791,-0.231035503,0.812458998,-0.494763703,-0.146008162,-0.546372172,1.704332761,-0.163647591
-1.100797729,0.549574917,2.317612123,-1.004603309,-0.345695796,-1.379365811,2.555260112,2.825843223
0.255151791,1.720490546,0.511428373,-0.664710238,0.053679471,-1.212767083,1.066137248,1.032148735
-0.422822969,-0.933584881,0.872665123,0.015075902,-0.146008162,-1.046168355,1.172503167,0.379896193
1.611101312,0.783758043,0.451222249,0.354968973,-1.743509231,-1.379365811,0.56976296,0.542959329
2.289076072,0.237330749,0.089985499,-0.324817168,-1.14444633,-1.046168355,0.108843978,-0.109293213
-1.100797729,-0.777462797,-1.475373751,-0.664710238,1.850868173,0.78641765,-0.706628067,-0.870254511
0.933126552,-0.309096545,0.270603874,-0.834656774,-0.345695796,-0.046575988,0.037933365,-0.381065105
0.933126552,-0.387157587,-0.873312501,0.354968973,-0.944758696,0.453220195,-0.139343166,-0.54412824
0.255151791,0.939880126,0.451222249,0.185022438,0.652742372,0.120022739,1.704332761,0.271187436
0.255151791,-0.777462797,-0.331457376,-0.494763703,0.852430006,-1.046168355,-0.068432554,-0.435419483
-1.100797729,-1.245829049,-0.150839001,-0.834656774,1.850868173,0.453220195,-1.025725823,0.16247868
1.611101312,-0.152974461,-1.896816626,1.544594719,0.453054738,1.286213834,0.56976296,0.977794356
-0.422822969,-0.855523839,-1.896816626,1.204701649,-0.745071063,1.952608745,-1.486644805,-1.413798295
1.611101312,-0.699401755,-0.933518626,0.864808578,0.453054738,0.120022739,-0.493896229,-0.272356348
0.255151791,-0.621340713,0.330809999,-0.834656774,0.852430006,0.953016378,0.85340541,0.651668086
-1.778772489,-0.777462797,0.571634498,-0.494763703,0.652742372,0.286621467,1.456145617,0.271187436
-0.422822969,0.471513875,1.655344748,0.694862043,-0.545383429,-0.046575988,0.002478059,-0.924608889
-1.100797729,-0.933584881,0.692046748,0.524915508,-0.944758696,0.120022739,-0.600262148,-0.815900132
-1.100797729,0.003147623,0.451222249,0.185022438,0.852430006,-0.046575988,-0.848449292,-1.25073516
0.255151791,-0.855523839,-1.475373751,2.22438086,1.251805273,2.119207473,0.144299284,-0.435419483
-0.422822969,1.642429504,0.451222249,0.354968973,1.052117639,-0.046575988,1.030681941,1.249566248
-1.778772489,-0.152974461,-0.993724751,-0.494763703,1.850868173,0.953016378,-0.032977247,0.760376842
-0.422822969,-0.933584881,-0.572281876,0.864808578,0.053679471,-0.546372172,-0.352075004,0.48860495
-0.422822969,-1.011645923,-1.114137001,1.034755113,0.453054738,1.619411289,-0.352075004,-1.685570187
0.255151791,0.237330749,0.812458998,0.015075902,-1.14444633,-0.213174716,1.101592554,0.977794356
-1.778772489,0.003147623,0.752252873,-1.004603309,-0.345695796,-1.545964538,1.597966842,0.597313707
-1.100797729,-0.074913419,0.451222249,-0.834656774,0.652742372,-1.046168355,-0.529351535,-0.272356348
-1.778772489,-0.933584881,-1.053930876,0.524915508,0.852430006,-0.546372172,-0.919359904,-2.500885864
-1.778772489,-0.933584881,-0.692694126,0.864808578,-0.545383429,0.286621467,-1.167547048,-0.598482618
-1.100797729,-0.231035503,0.451222249,0.354968973,-0.944758696,-0.046575988,0.498852347,-0.761545754
-0.422822969,1.720490546,0.029779374,-0.494763703,1.251805273,-0.213174716,0.888860716,1.575692519
-1.100797729,0.549574917,-0.813106376,0.015075902,2.849306341,-0.213174716,-0.139343166,0.108124301
0.933126552,0.939880126,-0.271251251,-0.324817168,-0.545383429,-0.379773444,1.243413779,-0.054938834
-0.422822969,0.705697001,0.872665123,-1.174549844,1.65118054,-1.212767083,0.286120509,-0.435419483
-1.100797729,-1.167768007,-0.993724751,1.204701649,-1.344133963,1.452812562,-0.245709085,-1.57686143
-0.422822969,0.003147623,0.089985499,-0.494763703,0.053679471,-0.546372172,0.56976296,0.651668086
0.933126552,1.174063252,0.571634498,1.544594719,-1.14444633,0.286621467,0.286120509,0.542959329
-0.422822969,0.315391791,0.631840623,-1.004603309,0.253367105,-0.7129709,0.108843978,0.216833058
-0.422822969,0.393452833,0.270603874,-1.344496379,-0.545383429,-1.545964538,2.236162355,1.793110033
0.255151791,1.564368462,-0.090632876,-0.664710238,1.251805273,0.286621467,0.427941734,0.923439978
-1.100797729,-0.777462797,0.872665123,0.015075902,-1.344133963,-0.213174716,0.002478059,0.542959329
0.255151791,0.705697001,0.391016124,-1.344496379,0.453054738,-0.046575988,1.987975211,1.90181879
-1.100797729,-0.152974461,0.391016124,0.015075902,-0.345695796,-0.7129709,0.17975459,0.053769923
0.255151791,-0.152974461,-0.391663501,1.034755113,-0.345695796,1.119615106,-0.316619698,-0.54412824
0.255151791,0.237330749,1.053283498,1.034755113,-0.545383429,-0.7129709,2.023430517,2.010527546
-0.422822969,0.081208665,0.511428373,0.185022438,1.251805273,-0.213174716,-0.068432554,-0.489773862
0.933126552,-0.621340713,-1.896816626,2.22438086,0.053679471,0.619818923,-0.777538679,-0.870254511
1.611101312,0.003147623,1.233901873,-0.494763703,-0.745071063,-0.213174716,-0.812993986,-1.631215809
0.255151791,1.174063252,0.089985499,-1.514442914,0.652742372,-1.379365811,0.286120509,1.032148735
0.933126552,0.783758043,1.354314123,-1.68438945,-0.745071063,-1.712563266,0.605218266,0.869085599
0.255151791,-1.558073217,-0.873312501,0.354968973,-0.345695796,0.953016378,-1.593010724,-1.142026403
-1.778772489,-0.074913419,0.270603874,-0.494763703,-0.545383429,-0.879569627,2.732536643,-0.000584456
-1.100797729,0.783758043,0.571634498,1.034755113,-0.146008162,0.120022739,1.349779698,0.923439978
0.255151791,0.783758043,0.330809999,-0.494763703,-0.745071063,0.286621467,-0.174798472,0.542959329
0.255151791,-0.777462797,0.270603874,-0.494763703,-1.14444633,-2.045760722,1.491600923,1.412629384
0.933126552,-0.777462797,-3.100939125,1.884487789,0.453054738,2.619003656,-1.699376643,-0.978963268
2.289076072,2.423039924,0.150191624,0.015075902,-0.944758696,-0.046575988,1.066137248,1.358275005
-1.100797729,1.48630742,2.076787623,-2.02428252,0.453054738,-1.046168355,-0.032977247,2.173590682
0.933126552,-0.621340713,-1.174343126,1.714541254,-0.345695796,1.786010017,-0.245709085,-0.761545754
-0.422822969,1.330185336,1.354314123,0.864808578,-0.146008162,0.286621467,0.427941734,0.325541815
