Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-1.119357232,-0.224500194,0.379056485,0.011179627,-0.363873679,-0.687802806,0.148806594,0.038337796
2.237538668,2.250781938,0.138853932,0.011179627,-0.936823948,-0.022755482,1.021660804,1.313219738
-0.447978052,-0.449525843,0.799410952,1.174942773,1.545960549,0.309768179,-0.409820101,-0.386622851
0.894780308,4.576046971,0.379056485,0.509935261,0.591043435,-0.022755482,-2,-2
-0.447978052,-1.049594239,0.85946159,-2,-1.509774216,-2,-2,-2
0.894780308,0.000525454,-0.341551174,0.509935261,-2,0.642291841,-0.514562606,-1.077183903
-0.447978052,-0.974585689,0.85946159,0.011179627,-0.172890256,-1.020326467,1.126403309,0.357058281
-1.119357232,-0.974585689,-0.46165245,-0.487576007,-2,-0.022755482,0.044064088,-0.067902366
2.908917849,0.300559652,0.258955208,1.174942773,-2,-0.355279144,0.637604951,0.888259091
0.894780308,-0.299508744,0.138853932,-0.155072251,-0.745840525,-1.020326467,1.056574972,1.4194599
0.894780308,2.475807586,2.060474355,-1.152583518,-2,-1.685373791,-2,-2
-1.119357232,-0.82456859,-0.341551174,-2,-2,-2,-2,-2
0.223401128,1.800730641,-0.041297983,-0.487576007,-2,-0.355279144,-2,-2
-0.447978052,-0.524534392,-1.122209471,-1.318835396,1.927927394,-1.186588298,1.54537333,1.153859495
-0.447978052,-1.049594239,-1.122209471,1.008690895,0.400060012,1.639862826,-0.374905932,-1.661504793
1.566159488,-0.299508744,-0.221449897,2.338705919,-2,0.808553672,0.637604951,-0.28038269
-2.462115592,1.425687894,0.379056485,-2,0.782026858,-2,2.313485035,2.269381195
0.894780308,-0.82456859,-0.942057556,0.842439017,2.118910817,0.309768179,-0.270163427,-0.705343337
0.894780308,1.125653696,0.799410952,-2,0.782026858,-2,-2,-2
-1.119357232,-0.674551491,-1.722715853,-2,-2,-2,-2,-2
-0.447978052,-1.124602788,1.099664143,-0.155072251,-1.12780737,0.642291841,0.67251912,0.144577958
0.894780308,0.150542553,-0.581753727,0.842439017,0.400060012,0.143506348,0.532862446,-0.439742932
-1.119357232,-1.274619887,1.159714782,0.011179627,0.209076589,-0.189017313,1.615201667,-0.758463418
-0.447978052,-0.974585689,0.258955208,-2,-2,-2,-2,-2
-1.119357232,-0.974585689,-0.581753727,0.509935261,0.782026858,0.47603001,-0.165420922,0.357058281
-1.790736412,-0.749560041,-1.062158832,0.343683383,0.209076589,0.808553672,-0.724047617,-1.608384713
0.223401128,-0.974585689,0.138853932,-2,-0.936823948,-2,-2,-2
0.223401128,-0.82456859,0.258955208,-0.487576007,-1.12780737,-2.017897452,1.440630825,1.366339819
0.894780308,1.725722092,0.379056485,-2,2.30989424,-2,-2,-2
0.223401128,-0.974585689,-0.041297983,0.011179627,-0.936823948,-0.022755482,2.034171688,-0.014782285
0.894780308,0.975636597,1.099664143,-0.653827885,-0.936823948,-1.685373791,1.405716656,0.888259091
0.223401128,1.200662245,1.459967973,-0.155072251,-0.554857102,-0.687802806,0.183720762,0.091457877
-0.447978052,-1.349628436,-0.581753727,1.341194651,-0.363873679,1.972386488,-0.619305111,0.25081812
0.223401128,-0.524534392,-1.422462662,0.509935261,-1.509774216,1.141077333,-0.339991764,-1.130303984
0.894780308,-1.274619887,-1.662665215,2.504957797,-2,2.803695642,-1.52707349,-1.502144551
0.223401128,-0.89957714,-1.4825133,2.172454041,1.163993703,2.138648318,0.113892425,-0.439742932
-0.447978052,-0.82456859,-0.041297983,0.011179627,-0.172890256,0.143506348,0.044064088,-1.024063822
1.566159488,0.5255853,-0.581753727,1.008690895,-1.12780737,0.808553672,-0.65421928,-1.077183903
-1.119357232,-1.049594239,-0.46165245,0.177431505,-0.554857102,0.309768179,1.929429182,-0.758463418
-0.447978052,0.5255853,-0.341551174,0.509935261,0.400060012,0.642291841,0.532862446,-0.652223256
0.223401128,0.5255853,0.078803294,-0.321324129,-2,-0.521540975,2.697540887,1.631940224
0.223401128,1.95074774,-0.942057556,1.341194651,0.209076589,0.974815503,0.916918299,-0.86470358
0.894780308,2.100764839,-1.002108194,0.676187139,1.545960549,0.642291841,1.021660804,0.410178362
-0.447978052,3.900970026,1.520018611,-1.152583518,0.209076589,-0.687802806,1.580287498,0.782018929
0.223401128,-0.89957714,-0.101348621,-2,0.018093166,-2,-2,-2
0.894780308,-0.599542942,0.499157761,-1.318835396,-0.172890256,-0.854064637,-0.479648438,0.303938201
1.566159488,0.450576751,-0.761905641,0.676187139,-2,0.47603001,0.567776615,1.153859495
-0.447978052,1.575704993,0.559208399,-2,0.782026858,-2,-2,-2
1.566159488,-1.499645535,-0.401601812,-0.321324129,0.209076589,0.808553672,-0.933532627,-1.767744955
1.566159488,-0.074483096,1.21976542,-0.487576007,-0.745840525,-0.189017313,-0.828790122,-1.608384713
0.223401128,1.125653696,1.700170526,-0.820079762,-2,-0.022755482,0.358291604,0.197698039
-0.447978052,-0.974585689,-0.041297983,0.011179627,-0.745840525,1.307339164,0.183720762,-0.492863013
1.566159488,0.60059385,1.339866696,0.011179627,0.018093166,-0.022755482,1.75485834,0.728898848
1.566159488,0.675602399,-1.542563938,0.509935261,-0.363873679,0.47603001,-1.317588479,-1.714624874
-1.119357232,-0.82456859,-0.46165245,-2,0.97301028,-2,-2,-2
-1.790736412,0.675602399,1.580069249,-1.318835396,0.209076589,-1.851635621,0.497948278,-0.227262609
-1.119357232,-1.424636986,-0.221449897,1.839950285,0.209076589,0.974815503,-0.270163427,-0.811583499
-0.447978052,-1.349628436,-1.602614576,0.842439017,0.209076589,1.972386488,0.044064088,-0.652223256
0.894780308,2.325790487,0.559208399,-2,0.591043435,-2,-2,-2
-1.119357232,-1.799679733,0.138853932,-0.487576007,-1.509774216,-0.854064637,-0.305077596,-1.236544146
-0.447978052,-0.449525843,-0.46165245,0.177431505,0.209076589,-0.355279144,0.183720762,-0.758463418
0.894780308,-0.749560041,0.138853932,-0.321324129,0.97301028,-0.687802806,-2,-2
0.894780308,-0.449525843,-0.882006918,0.343683383,-0.936823948,0.47603001,-0.165420922,-0.545983094
-1.119357232,-0.89957714,0.319005847,0.177431505,-2,-1.685373791,1.580287498,0.038337796
0.894780308,0.675602399,0.739360314,-0.487576007,0.018093166,-0.854064637,0.742347457,-0.545983094
-0.447978052,-0.149491645,1.339866696,-1.318835396,-0.554857102,-1.186588298,0.253549099,-0.121022447
0.894780308,0.375568201,1.039613505,-0.155072251,0.97301028,0.47603001,0.602690783,-0.227262609
0.894780308,-0.524534392,0.379056485,-2,0.782026858,-2,-2,-2
0.223401128,-2.474756678,-1.062158832,2.006202163,-0.363873679,1.307339164,0.567776615,-0.121022447
